-1,-1,-1,0,1,17,18,16,17,18,16,17,18,16,17,18,16,17,6,7,41,9,10,11,-1
-1,0,-1,12,13,29,30,28,29,30,28,29,30,28,29,30,28,29,18,19,41,21,22,23,-1
-1,-1,-1,24,25,41,42,40,41,42,40,41,42,40,41,42,40,41,30,31,41,33,34,35,-1
-1,0,1,36,37,27,54,52,53,54,52,53,54,52,53,54,52,53,42,43,41,45,46,47,-1
-1,3,4,5,25,27,18,16,17,18,16,17,18,16,17,18,16,17,54,55,41,57,58,-1,-1
-1,-1,-1,-1,37,29,30,28,29,30,28,29,30,28,29,30,28,29,66,67,68,69,70,-1,-1
-1,-1,-1,-1,74,75,42,40,41,42,40,41,42,40,41,42,40,41,78,41,80,81,82,-1,-1
-1,-1,-1,-1,86,87,54,52,53,54,52,53,54,52,53,54,52,53,90,91,92,93,94,-1,-1
-1,-1,-1,-1,-1,99,18,16,17,18,16,17,18,16,17,18,16,17,102,103,-1,105,106,-1,-1
-1,-1,-1,-1,-1,99,30,28,29,30,28,29,30,28,29,30,28,29,32,21,116,117,118,-1,-1
-1,-1,-1,-1,-1,37,2,3,4,5,40,41,42,40,41,42,40,41,41,45,-1,-1,-1,-1,-1
-1,-1,-1,-1,12,13,27,15,16,17,52,53,54,52,53,54,52,53,41,45,-1,-1,-1,-1,-1
-1,-1,-1,-1,37,27,27,27,28,29,16,17,18,16,17,18,16,17,41,91,92,-1,-1,-1,-1
-1,-1,-1,-1,74,27,27,39,40,41,28,29,30,28,29,30,28,29,41,41,57,-1,-1,-1,-1
-1,-1,-1,-1,87,27,27,51,52,53,40,41,42,40,41,42,40,41,41,21,22,-1,-1,-1,-1
-1,-1,-1,-1,25,27,27,63,64,65,52,53,54,52,53,54,52,41,41,33,34,-1,-1,-1,-1
-1,-1,-1,-1,0,27,27,27,76,77,16,17,18,16,17,18,16,41,41,10,11,-1,-1,-1,-1
-1,-1,-1,-1,13,27,27,27,27,89,28,29,30,28,29,30,41,41,41,33,34,-1,-1,-1,-1
-1,-1,-1,-1,62,27,27,27,27,101,40,41,42,40,41,42,40,41,41,10,11,-1,-1,-1,-1
